泰昇-KY,	8480
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,10000,146.00,146.00,144.00,145.00,4.00,10,1450500
107/06/04,6,--,--,--,--,,1,870
107/06/05,2004,142.00,142.00,142.00,142.00,X,3,284572
107/06/06,0,--,--,--,--,,0,0
107/06/07,2000,141.00,141.00,141.00,141.00,X,2,282000
107/06/08,0,--,--,--,--,,0,0
107/06/11,5000,139.00,142.00,139.00,142.00,X,5,705000
107/06/12,0,--,--,--,--,,0,0
107/06/13,0,--,--,--,--,,0,0
107/06/14,28000,140.00,140.00,137.00,137.50,X,25,3862000
107/06/15,15,--,--,--,--,,1,2040
107/06/19,4000,139.50,139.50,139.50,139.50,X,4,558000
107/06/20,7000,145.00,145.00,142.00,142.00,2.50,7,997000
107/06/21,2004,142.00,142.00,140.00,140.00,2.00,3,282560
107/06/22,2000,140.00,140.00,140.00,140.00,,2,280000
107/06/25,13000,138.50,139.50,138.00,138.00,2.00,13,1797000
107/06/26,11000,138.00,138.00,137.00,137.00,1.00,9,1511000
107/06/27,10019,137.00,137.00,137.00,137.00,,7,1372584
107/06/28,25000,136.00,137.50,136.00,136.00,1.00,24,3408500
107/06/29,8000,136.00,139.50,136.00,139.50,3.50,8,1093000
107/07/02,0,--,--,--,--,,0,0
107/07/03,4000,136.50,136.50,136.50,136.50,X,4,546000
107/07/04,0,--,--,--,--,,0,0
107/07/05,0,--,--,--,--,,0,0
107/07/06,5003,138.00,138.00,138.00,138.00,X,6,690414
107/07/09,4002,138.00,138.00,138.00,138.00,,5,552274
107/07/10,0,--,--,--,--,,0,0
107/07/11,6000,138.50,138.50,138.00,138.00,X,6,829500
107/07/12,8000,136.50,137.00,136.50,137.00,1.00,7,1095000
107/07/13,0,--,--,--,--,,0,0
107/07/16,18000,139.00,139.50,138.50,139.50,X,18,2507500
107/07/17,7000,140.00,140.00,139.50,139.50,,7,978500
107/07/18,20000,141.00,141.50,140.00,140.00,0.50,17,2808000
107/07/19,13000,141.00,141.00,140.00,140.00,,11,1825500
107/07/20,6100,141.00,141.00,140.00,140.00,,5,856100
107/07/23,4025,140.00,140.00,139.50,139.50,0.50,5,563000
107/07/24,12000,140.00,140.50,140.00,140.50,1.00,12,1682500
107/07/25,21040,141.00,141.00,140.50,141.00,0.50,21,2964140
107/07/26,12008,141.00,141.00,140.50,140.50,0.50,12,1687624
107/07/27,10085,141.00,142.00,141.00,142.00,1.50,18,1427155
107/07/30,13066,123.50,124.50,121.50,121.50,X,12,1609118
107/07/31,6010,123.50,127.00,123.50,127.00,5.50,7,748270
107/08/01,10000,129.00,129.00,129.00,129.00,2.00,9,1290000
107/08/02,0,--,--,--,--,,0,0
107/08/03,2000,129.00,129.00,129.00,129.00,X,2,258000
107/08/06,2000,127.00,127.00,127.00,127.00,2.00,2,254000
107/08/07,7000,127.00,127.00,126.50,126.50,0.50,7,887500
107/08/08,11000,126.50,127.00,126.50,127.00,0.50,11,1394500
107/08/09,0,--,--,--,--,,0,0
107/08/10,0,--,--,--,--,,0,0
107/08/13,24000,126.50,126.50,125.00,125.00,X,15,3019500
107/08/14,26000,125.00,125.50,125.00,125.00,,16,3250500
107/08/15,12131,125.00,125.00,123.00,124.50,0.50,14,1510113
107/08/16,17000,124.50,124.50,124.50,124.50,,13,2116500
107/08/17,21000,124.50,124.50,124.00,124.50,,13,2607000
107/08/20,16000,125.00,125.00,125.00,125.00,0.50,16,2000000
107/08/21,5000,125.00,125.00,124.50,124.50,0.50,5,624500
107/08/22,4000,125.00,125.00,125.00,125.00,0.50,1,500000
107/08/23,5000,124.00,125.00,124.00,125.00,,5,624000
107/08/24,17000,124.00,124.00,123.00,124.00,1.00,12,2096000
107/08/27,2000,123.00,123.00,123.00,123.00,1.00,2,246000
107/08/28,0,--,--,--,--,,0,0
107/08/29,4000,123.00,123.00,123.00,123.00,X,4,492000
107/08/30,13131,123.00,123.50,123.00,123.00,,13,1616006
107/08/31,9702,123.00,125.00,123.00,125.00,2.00,14,1209548
107/09/03,1708,125.00,125.00,125.00,125.00,,8,214208
107/09/04,5800,125.00,125.00,125.00,125.00,,9,723200
107/09/05,119500,123.00,126.00,123.00,125.00,,12,14886250
107/09/06,1100,123.00,123.00,123.00,123.00,2.00,2,135300
107/09/07,6900,122.00,122.00,122.00,122.00,1.00,9,841350
107/09/10,16090,122.00,125.50,122.00,125.50,3.50,14,1968160
107/09/11,0,--,--,--,--,,0,0
107/09/12,1000,122.00,122.00,122.00,122.00,X,1,122000
107/09/13,10000,122.00,125.00,122.00,125.00,3.00,12,1237000
107/09/14,1100,125.00,125.00,125.00,125.00,,2,137400
107/09/17,181,--,--,--,--,,1,20815
107/09/18,8342,123.00,123.00,123.00,123.00,X,4,1025724
107/09/19,9100,123.50,127.50,123.50,127.00,4.00,9,1141600
107/09/20,1000,129.00,129.00,129.00,129.00,2.00,1,129000
107/09/21,1000,129.00,129.00,129.00,129.00,,1,129000
107/09/25,0,--,--,--,--,,0,0
107/09/26,0,--,--,--,--,,0,0
107/09/27,0,--,--,--,--,,0,0
107/09/28,12300,132.00,133.00,132.00,133.00,X,10,1631900
107/10/01,6000,133.00,133.00,127.00,130.50,2.50,6,780500
107/10/02,2000,128.00,128.00,125.00,125.00,5.50,2,253000
107/10/03,2700,125.00,125.00,125.00,125.00,,5,337500
107/10/04,6169,125.00,125.00,125.00,125.00,,7,771125
107/10/05,0,--,--,--,--,,0,0
107/10/08,31300,125.00,125.00,124.00,125.00,X,14,3910800
107/10/09,7000,125.00,127.50,125.00,127.50,2.50,7,880000
107/10/11,12100,122.00,125.00,120.00,125.00,2.50,10,1465400
107/10/12,7400,123.00,123.00,120.00,120.00,5.00,10,890800
107/10/15,4094,118.00,118.00,117.00,117.00,3.00,6,479998
107/10/16,9000,116.00,118.50,115.00,118.50,1.50,8,1052000
107/10/17,7000,118.50,118.50,118.50,118.50,,7,829500
107/10/18,0,--,--,--,--,,0,0
107/10/19,2000,118.50,118.50,118.50,118.50,X,1,237000
107/10/22,13800,120.00,120.00,119.00,119.00,0.50,14,1645400
107/10/23,1000,119.00,119.00,119.00,119.00,,1,119000
107/10/24,1000,121.50,121.50,121.50,121.50,2.50,1,121500
107/10/25,7010,115.00,116.50,115.00,116.50,5.00,8,807690
107/10/26,7000,116.00,118.00,116.00,117.50,1.00,3,815500
107/10/29,1000,116.00,116.00,116.00,116.00,1.50,1,116000
107/10/30,7000,116.00,116.00,116.00,116.00,,7,812000
107/10/31,32000,116.00,116.50,116.00,116.00,,13,3713000
107/11/01,47100,116.00,116.00,116.00,116.00,,22,5463600
107/11/02,4000,117.00,117.50,117.00,117.50,1.50,4,469500
107/11/08,5030,124.00,124.00,122.00,122.00,,6,615660
107/11/09,13500,123.00,123.50,122.00,123.50,1.50,11,1657500
107/11/12,10136,123.50,125.00,123.00,123.00,0.50,9,1256728
107/11/16,24000,124.50,125.00,124.50,125.00,,17,2999500
107/11/19,20000,124.50,125.00,124.50,125.00,,10,2496000
107/11/20,10400,122.00,125.00,122.00,125.00,,12,1288100
107/11/21,0,--,--,--,--,,0,0
107/11/22,2000,123.00,123.00,123.00,123.00,X,2,246000
107/11/23,0,--,--,--,--,,0,0
107/11/26,5000,122.50,122.50,122.50,122.50,X,5,612500
107/11/27,8000,122.00,122.50,122.00,122.50,,8,977500
107/11/28,15000,122.00,122.00,118.00,122.00,0.50,14,1811000
107/11/29,0,--,--,--,--,,0,0
107/11/30,11474,121.50,124.00,121.50,124.00,X,13,1408750
107/12/03,6000,124.00,125.50,124.00,125.50,1.50,5,748500
107/12/04,69300,121.50,122.50,121.50,122.50,3.00,39,8455350
107/12/05,250,--,--,--,--,,1,30500
107/12/06,3000,121.00,121.00,120.00,120.00,X,3,362000
107/12/07,1070,125.00,125.00,125.00,125.00,5.00,2,133680
107/12/10,0,--,--,--,--,,0,0
107/12/11,11000,122.00,126.50,120.50,122.50,X,7,1355000
107/12/12,8000,132.50,132.50,126.00,126.00,3.50,8,1018000
107/12/13,0,--,--,--,--,,0,0
107/12/14,7000,125.00,128.00,125.00,128.00,X,3,880000
107/12/17,6000,126.00,128.00,125.00,128.00,,4,754000
107/12/18,2001,125.00,126.00,125.00,126.00,2.00,3,251125
107/12/19,10000,125.00,127.00,125.00,125.00,1.00,7,1252000
107/12/20,12000,125.00,125.00,125.00,125.00,,8,1500000
107/12/21,4200,125.00,128.00,125.00,128.00,3.00,5,529400
107/12/22,1020,128.00,128.00,128.00,128.00,,2,130550
107/12/24,2020,132.00,132.00,129.50,129.50,1.50,3,264080
107/12/25,2000,130.50,130.50,130.00,130.00,0.50,2,260500
107/12/26,7000,130.00,130.00,125.00,125.00,5.00,5,881000
107/12/27,2000,128.00,128.00,127.50,127.50,2.50,2,255500
107/12/28,3100,128.00,128.00,126.50,126.50,1.00,4,394000
108/01/02,4400,127.00,127.00,125.00,125.00,1.50,6,553900
108/01/03,3000,123.00,130.00,123.00,130.00,5.00,3,383000
108/01/04,2000,130.00,130.00,129.00,129.00,1.00,2,259000
108/01/07,4030,128.00,128.50,128.00,128.50,0.50,5,516840
108/01/08,20020,130.00,130.00,127.50,128.00,0.50,17,2564560
108/01/09,26500,129.00,130.00,128.00,130.00,2.00,23,3407000
108/01/10,14000,128.00,128.50,128.00,128.50,1.50,10,1793000
108/01/11,14118,128.00,128.50,128.00,128.00,0.50,13,1811604
108/01/14,7000,128.00,128.00,126.00,128.00,,5,889000
108/01/15,18000,128.00,128.00,127.50,128.00,,14,2303500
